num_keys,load_factor,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.9,-1,-1,-1,-1,805.543,1709.43,1442.14,1250.41,
6000000,0.9,-6,-6,-6,-6,563.32,1197.12,981.405,800.702,
11000000,0.9,-11,-11,-11,-11,549.869,1162.48,949.058,798.581,
16000000,0.9,-16,-16,-16,-16,543.638,1154.47,935.543,787.783,
21000000,0.9,-21,-21,-21,-21,540.225,1145.81,930.264,783.592,
26000000,0.9,-26,-26,-26,-26,538.071,1143.45,924.315,780.205,
31000000,0.9,-31,-31,-31,-31,536.933,1139.8,923.091,778.459,
36000000,0.9,-36,-36,-36,-36,528.367,1125.83,909.371,764.821,
41000000,0.9,-41,-41,-41,-41,526.655,1115.13,899.484,760.934,
46000000,0.9,-46,-46,-46,-46,534.049,1132.19,918.226,774.387,
51000000,0.9,-51,-51,-51,-51,529.354,1133.96,918.217,772.877,
56000000,0.9,-56,-56,-56,-56,529.498,1122.87,901.267,760.388,
61000000,0.9,-61,-61,-61,-61,533.891,1132.3,916.243,772.291,
66000000,0.9,-66,-66,-66,-66,533.129,1131.3,915.484,772.343,
71000000,0.9,-71,-71,-71,-71,528.364,1125.96,906.875,758.441,
76000000,0.9,-76,-76,-76,-76,533.03,1130.26,915.05,770.635,
81000000,0.9,-81,-81,-81,-81,531.222,1115.02,899.238,763.518,
86000000,0.9,-86,-86,-86,-86,531.616,1125.06,899.102,759.677,
91000000,0.9,-91,-91,-91,-91,525.909,1118.78,909.323,764.93,
96000000,0.9,-96,-96,-96,-96,527.265,1129.29,909.743,758.333,
