num_keys,load_factor,insert_1,find_1_100,find_1_50,find_1_0,insert_8,find_8_100,find_8_50,find_8_0,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.8,2181.21,3828,3554.81,3329.15,
6000000,0.8,2930.41,4805.46,4580.94,4357.03,
11000000,0.8,2423.57,4803.08,4577.09,3974.33,
16000000,0.8,2336.4,4207.78,3906.1,3649.34,
21000000,0.8,2198.68,3714.21,3481.2,3294.49,
26000000,0.8,2080.44,3444.28,3230.48,3052.27,
31000000,0.8,1997.84,3282.18,3078.05,2907.36,
36000000,0.8,1943.71,3165.93,2969.57,2807.9,
41000000,0.8,1899.4,3088.44,2897.86,2738.47,
46000000,0.8,1866.16,3031.97,2843.92,2687.44,
51000000,0.8,1839.88,2984.66,2797.11,2644.3,
56000000,0.8,1826.27,2949.1,2763.2,2611.64,
61000000,0.8,1803.73,2915.39,2734.64,2584.24,
66000000,0.8,1792.27,2893.13,2712.13,2564.13,
71000000,0.8,1770.7,2875.44,2690.18,2545.3,
76000000,0.8,1774.85,2852.13,2675.55,2528.8,
81000000,0.8,1763.85,2838.28,2661.52,2516.03,
86000000,0.8,1754.25,2822.26,2647.05,2503.23,
91000000,0.8,1750.49,2811.65,2636.63,2493.64,
96000000,0.8,1744.45,2799.96,2627.32,2484.43,
