num_keys,load_factor,insert_32_20,find_32_20_100,find_32_20_50,find_32_20_0,insert_32_40,find_32_40_100,find_32_40_50,find_32_40_0,insert_32_60,find_32_60_100,find_32_60_50,find_32_60_0,insert_32_80,find_32_80_100,find_32_80_50,find_32_80_0,
1000000,0.9,1935.4,2590.97,2087.71,1973.61,2102.52,2878.94,2167.99,2033.82,2384.75,3430.99,2314.04,2077.48,2648.59,4210.81,2599.16,2168.97,
6000000,0.9,1832.11,2357.61,2022.79,1996.18,2119.25,2860.42,2119.02,2066.79,2465.46,3644.42,2425.67,2049.78,2779.11,4411.96,2698.43,2021.59,
11000000,0.9,1588.35,2080.4,1760.58,1652.71,1731.7,2394.97,1788.7,1692.22,1964.58,2918.78,1956.66,1761.97,2225.49,3587.42,2302.74,1847.26,
16000000,0.9,1516.28,2238.57,1944.29,1846.04,1678.61,2581.3,1982.71,1885.11,1927.61,3135.75,2235.85,1945.85,2159.27,3735.82,2528.88,1976.56,
21000000,0.9,1440.77,2139.52,1839.76,1753.51,1581.24,2412.2,1874.62,1793.03,1787.38,2839.87,2055.78,1850.92,2009.46,3329.89,2333.97,1911.88,
26000000,0.9,1363.4,2023.29,1673.95,1539.1,1490.06,2259.78,1711.85,1587.52,1679.67,2625.61,1858.7,1662.96,1882.29,3047.79,2112.74,1747.82,
31000000,0.9,1304.33,1924.8,1678.21,1618.45,1439.09,2167.11,1705.07,1654.5,1639.46,2546.36,1870.14,1700.99,1846.36,2972.37,2113.63,1736.57,
36000000,0.9,1265.85,1859.52,1585.96,1499.24,1392.17,2083.11,1616.54,1541.49,1577.59,2428.6,1761.52,1600.94,1777.3,2821.47,1997.09,1659.35,
41000000,0.9,1234.3,1806.92,1490.81,1372.31,1354.27,2016.39,1525.11,1418.3,1527.06,2338.88,1655.48,1486.79,1717.58,2707.21,1880.97,1561.81,
46000000,0.9,1212.19,1775.52,1531.17,1463.06,1333.41,1992.8,1558.38,1499.7,1522.64,2330.46,1702.21,1551.56,1717.04,2714.65,1927.65,1596.97,
51000000,0.9,1194.26,1741.79,1471.83,1382.89,1314.76,1949.45,1502.15,1423.16,1481.98,2268.67,1634.56,1482.97,1675.5,2634.42,1855.04,1543.56,
56000000,0.9,1181.32,1712.25,1410.16,1297.66,1292.58,1911.62,1443.02,1341.68,1459.37,2216.56,1566.41,1406.89,1634.96,2566.87,1780.17,1478.52,
61000000,0.9,1171.93,1700.82,1454.3,1380.92,1289.06,1907.36,1481.74,1418.06,1463.91,2226.54,1616.25,1471.23,1651.73,2589.52,1832.45,1522.36,
66000000,0.9,1160.37,1680.65,1411.76,1321.06,1270.02,1878.9,1441.69,1361.16,1444.1,2187.09,1567.8,1419.99,1624.94,2537.47,1780.3,1481.59,
71000000,0.9,1150.46,1660.04,1365.46,1256.48,1261.17,1853.01,1397.36,1298.63,1425.56,2149.3,1517.21,1362.52,1601.01,2490.45,1724.12,1432.07,
76000000,0.9,1148.63,1656.81,1408.55,1331.16,1261.7,1856.09,1435.81,1368.23,1430.6,2164.87,1564.02,1422.81,1611.15,2517.75,1774.9,1476.22,
81000000,0.9,1136.35,1641.31,1374.04,1282.14,1252.37,1836.16,1402.22,1322.32,1415.96,2135.54,1526.16,1380.43,1593.1,2477.49,1733.88,1442.65,
86000000,0.9,1131.6,1627.24,1337.67,1230.5,1238.63,1815.8,1369.02,1272.08,1401.88,2108.93,1485.97,1334.21,1572.9,2442.38,1688.8,1402.74,
91000000,0.9,1130.95,1628.34,1377.95,1297.26,1244.08,1823.36,1405.25,1334.57,1407.29,2124.78,1529.61,1389.14,1587.42,2469.84,1736.41,1445.12,
96000000,0.9,1126.65,1616.23,1349.29,1256.29,1232.76,1807.41,1378.42,1295.82,1398.47,2101.7,1498.24,1354.19,1571.08,2439.05,1702.03,1416.47,
