num_keys,load_factor,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.9,2597.25,4353.58,3743.62,3362.41,
6000000,0.9,2330.93,3684.21,3195.27,2829.92,
11000000,0.9,1984.35,3242.6,2817.6,2452.98,
16000000,0.9,1667.24,3076.48,2646.2,2306.99,
21000000,0.9,1480.51,2917.31,2466.3,2138.34,
26000000,0.9,1346.46,2696.73,2262.62,1952.37,
31000000,0.9,1271.24,2561.78,2139.54,1839.19,
36000000,0.9,1221.93,2469.2,2053.96,1762.8,
41000000,0.9,1186.24,2403.95,1995.31,1708.32,
46000000,0.9,1164.1,2357.25,1951.74,1668.89,
51000000,0.9,1141.29,2317.13,1914.92,1636.97,
56000000,0.9,1126.09,2288.28,1888.82,1612.33,
61000000,0.9,1114.9,2262.64,1865.55,1591.13,
66000000,0.9,1106.43,2243.79,1848.09,1575.1,
71000000,0.9,1099.44,2226.71,1830.54,1561.49,
76000000,0.9,1090.91,2211.54,1818.64,1548.43,
81000000,0.9,1084.57,2198.3,1806.95,1537.53,
86000000,0.9,1079.09,2187.26,1796.2,1528.46,
91000000,0.9,1074.48,2177.45,1788.63,1521.43,
96000000,0.9,1070.06,2169,1780.55,1513.92,
