num_keys,load_factor,insert_16_20,find_16_20_100,find_16_20_50,find_16_20_0,insert_16_40,find_16_40_100,find_16_40_50,find_16_40_0,insert_16_60,find_16_60_100,find_16_60_50,find_16_60_0,insert_16_80,find_16_80_100,find_16_80_50,find_16_80_0,insert_32_20,find_32_20_100,find_32_20_50,find_32_20_0,insert_32_40,find_32_40_100,find_32_40_50,find_32_40_0,insert_32_60,find_32_60_100,find_32_60_50,find_32_60_0,insert_32_80,find_32_80_100,find_32_80_50,find_32_80_0,
1000000,0.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1258.48,1855.48,1574.19,1505.91,1392.58,2116.99,1575.37,1507.14,1591.19,2549.69,1681.4,1505.68,1815.59,3090.42,1895.06,1507.78,
6000000,0.9,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,779.506,1105.55,917.313,868.704,873.926,1277.59,917.81,868.765,1019.38,1565.79,991.827,868.841,1191.4,1942.51,1126.54,868.828,
11000000,0.9,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,746.081,1063.77,881.182,834.085,834.854,1229.29,881.718,834.184,970.841,1507.45,952.929,834.152,1130.24,1872.69,1083.64,834.207,
16000000,0.9,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,734.037,1048.75,867.985,821.471,820.527,1212.13,868.384,821.437,953.285,1486.66,939.171,821.466,1107.74,1847.35,1067.33,821.433,
21000000,0.9,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,728.107,1040.77,861.195,814.948,813.037,1202.89,861.628,814.762,943.987,1476.01,931.751,814.886,1096.59,1833.79,1059.19,814.783,
26000000,0.9,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,724.028,1035.88,857.111,810.946,808.379,1197.49,857.487,810.933,938.244,1469.4,927.55,810.909,1089.48,1826.25,1054.28,810.917,
31000000,0.9,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,721.453,1033.17,854.83,808.676,805.536,1194.52,855.338,808.818,934.529,1465.39,924.979,808.738,1084.81,1821.58,1051.52,808.811,
36000000,0.9,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,719.54,1030.84,852.858,806.842,803.478,1191.63,853.311,806.851,931.87,1462.25,922.998,806.886,1081.09,1817.25,1049.17,806.85,
41000000,0.9,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,718.04,1029.06,851.241,805.26,801.578,1189.61,851.715,805.242,929.598,1459.59,921.212,805.233,1078.71,1814.35,1047.12,805.18,
46000000,0.9,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,716.895,1027.61,849.958,804.027,800.454,1187.99,850.479,804.084,928.146,1457.86,919.845,804.025,1076.79,1811.92,1045.88,804.128,
51000000,0.9,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,716.113,1026.27,848.777,802.924,799.457,1186.58,849.279,802.964,926.871,1455.97,918.655,802.912,1075.04,1810.51,1044.36,802.923,
56000000,0.9,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,715.629,1025.43,848.069,802.293,798.498,1185.39,848.495,802.268,925.842,1455,917.913,802.288,1073.56,1808.98,1043.55,802.245,
61000000,0.9,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,714.858,1025.19,847.928,802.093,797.936,1185.16,848.322,802.07,924.899,1454.31,917.742,802.072,1072.62,1808.33,1043.22,802.033,
66000000,0.9,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,714.295,1024.44,847.296,801.552,797.118,1184.32,847.72,801.519,924.342,1453.47,917.036,801.564,1071.87,1807.26,1042.64,801.522,
71000000,0.9,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,713.809,1023.83,846.687,800.861,796.634,1183.7,847.185,800.874,923.571,1452.7,916.423,800.912,1070.92,1806.31,1041.95,800.864,
76000000,0.9,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,713.351,1023.33,846.254,800.493,796.183,1183.13,846.786,800.518,923.116,1451.95,915.994,800.497,1070.42,1805.51,1041.47,800.469,
81000000,0.9,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,713.194,1022.65,845.7,799.971,795.76,1182.37,846.149,799.926,922.655,1451.31,915.453,799.944,1069.85,1804.64,1040.82,799.966,
86000000,0.9,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,712.802,1022.7,845.808,800.081,795.529,1182.44,846.293,800.077,922.25,1451.19,915.572,800.088,1069.27,1804.48,1040.91,800.086,
91000000,0.9,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,712.645,1022.36,845.501,799.816,795.122,1182.09,846.029,799.859,922.007,1450.71,915.239,799.828,1068.81,1804,1040.6,799.83,
96000000,0.9,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,712.32,1021.92,845.122,799.361,794.959,1181.62,845.619,799.373,921.543,1450.25,914.852,799.343,1068.35,1803.4,1040.18,799.412,
