num_keys,load_factor,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.9,-1,-1,-1,-1,1626.2,3087.46,2640.07,2340.75,
6000000,0.9,-6,-6,-6,-6,1007.12,1907.47,1560.21,1324.36,
11000000,0.9,-11,-11,-11,-11,942.085,1824.17,1485.9,1257.38,
16000000,0.9,-16,-16,-16,-16,927.837,1794.24,1459.05,1233.05,
21000000,0.9,-21,-21,-21,-21,918.343,1778.86,1445.37,1220.68,
26000000,0.9,-26,-26,-26,-26,911.334,1769.39,1437.19,1213.3,
31000000,0.9,-31,-31,-31,-31,906.75,1763.27,1431.6,1208.32,
36000000,0.9,-36,-36,-36,-36,903.577,1758.45,1427.33,1204.5,
41000000,0.9,-41,-41,-41,-41,901.043,1755.06,1424.3,1201.82,
46000000,0.9,-46,-46,-46,-46,899.083,1752.64,1422.09,1199.62,
51000000,0.9,-51,-51,-51,-51,897.647,1750.35,1420,1197.82,
56000000,0.9,-56,-56,-56,-56,896.257,1748.71,1418.68,1196.64,
61000000,0.9,-61,-61,-61,-61,895.142,1747.33,1417.34,1195.53,
66000000,0.9,-66,-66,-66,-66,894.708,1745.84,1416.23,1194.4,
71000000,0.9,-71,-71,-71,-71,893.591,1744.81,1415.19,1193.57,
76000000,0.9,-76,-76,-76,-76,892.768,1744.08,1414.49,1192.83,
81000000,0.9,-81,-81,-81,-81,890.081,1742.93,1413.54,1192.14,
86000000,0.9,-86,-86,-86,-86,891.803,1742.49,1413.05,1191.6,
91000000,0.9,-91,-91,-91,-91,891.424,1741.77,1412.52,1191.08,
96000000,0.9,-96,-96,-96,-96,891.045,1741.17,1411.94,1190.63,
