num_keys,load_factor,insert_1,find_1_100,find_1_50,find_1_0,insert_8,find_8_100,find_8_50,find_8_0,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.8,1954.63,6925.98,5998.66,4932.13,2757.26,7392.6,5671.09,4729.12,2061.88,5504.67,4424.84,3869.11,1844.66,3735.89,3437.39,3219.79,
6000000,0.8,958.741,3037.99,2562.71,2026.55,1702.27,4923.84,4071.84,3455.84,1758.85,4200.57,3623.61,3221.91,1473.03,2474.82,2308.84,2173.84,
11000000,0.8,906.986,2802.92,2362.32,1864.02,1619.42,4593.82,3814.83,3244.1,1669.62,4026.91,3485.12,3099.48,1391.15,2374.86,2214.98,2084.36,
16000000,0.8,889.022,2724.26,2295.16,1809.73,1590.87,4475.79,3722.45,3164.62,1637.07,3958.8,3431.58,3052.23,1360.22,2337.5,2181.1,2052.33,
21000000,0.8,879.404,2685.22,2262.53,1783.24,1575.1,4418.45,3674.58,3126.72,1620.28,3925.62,3403.96,3027.83,1344.29,2318.5,2162.79,2035.66,
26000000,0.8,873.994,2663.56,2243.42,1767.44,1565.48,4383.14,3646.93,3103,1608.98,3905.47,3387.81,3013.8,1334.77,2307.17,2152.75,2025.93,
31000000,0.8,870.592,2649.38,2231.19,1757.4,1558.98,4362.86,3631.04,3088.56,1601.7,3891.19,3377.68,3004.63,1328.26,2299.23,2145.65,2019.88,
36000000,0.8,868.346,2639.34,2221.84,1750.24,1554.48,4346.07,3617.6,3076.97,1596.87,3881.67,3370.01,2998.91,1323.41,2293.42,2140.53,2015.15,
41000000,0.8,866.595,2631.28,2215.32,1745.09,1550.86,4332.11,3606.38,3067.92,1593.4,3874.95,3365.02,2993.8,1320.03,2289.74,2137.48,2012.65,
46000000,0.8,865.298,2625.83,2210.37,1741,1548.29,4321.95,3599.88,3062.56,1590.41,3870.84,3361.86,2991.48,1317.19,2287.39,2135.03,2010.23,
51000000,0.8,864.339,2622,2206.98,1737.93,1545.95,4315.91,3593.67,3057.92,1587.98,3866.4,3357.92,2988.1,1314.96,2283.91,2132.54,2007.89,
56000000,0.8,863.68,2617.82,2203.48,1735.08,1544.51,4309.8,3588.32,3053.21,1586.49,3862.19,3356.28,2986.53,1313.15,2281.65,2130.66,2006.55,
61000000,0.8,863.189,2615.62,2201.37,1733.27,1543.16,4305.52,3586.09,3051.54,1584.44,3860.01,3354.37,2985.38,1311.56,2279.86,2129.1,2005.13,
66000000,0.8,862.821,2613.91,2199.6,1731.99,1542.05,4301.66,3583.28,3049.33,1582.96,3858.41,3353.75,2984.98,1310.24,2278.54,2128.36,2004.72,
71000000,0.8,862.577,2611.51,2197.66,1730.7,1541.15,4296.71,3580.37,3046.93,1581.87,3854.99,3350.84,2983.27,1309.13,2277.09,2127.08,2003.88,
76000000,0.8,862.29,2610.47,2196.63,1729.6,1540.44,4293.4,3578.45,3044.78,1580.95,3852.7,3349.67,2982.48,1308.57,2276.2,2126.58,2003.17,
81000000,0.8,862.282,2609.08,2195.47,1728.55,1539.73,4292.16,3576.55,3043.47,1580.15,3851.94,3349.48,2981.96,1307.57,2274.88,2125.65,2002.81,
86000000,0.8,862.392,2608.16,2194.94,1728.26,1539.03,4291.55,3576.01,3043.15,1579.69,3850.06,3348.54,2982.09,1306.88,2273.7,2124.94,2002.19,
91000000,0.8,862.253,2607.67,2194.1,1727.48,1538.81,4289.56,3574.68,3042.46,1578.8,3850.4,3348.59,2981.63,1306.22,2273.66,2124.91,2002.19,
96000000,0.8,862.131,2606.84,2193.34,1726.81,1538.18,4285.79,3573.61,3041.77,1578.46,3848.03,3347.81,2981.51,1305.58,2272.99,2124.6,2002.17,
