num_keys,load_factor,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.9,-1,-1,-1,-1,1674.65,3522.95,2989.17,2645.08,
6000000,0.9,-6,-6,-6,-6,1180.22,2348.73,1937.37,1654.82,
11000000,0.9,-11,-11,-11,-11,1131.88,2253.97,1851.46,1576.51,
16000000,0.9,-16,-16,-16,-16,1113.45,2218.55,1819.19,1546.56,
21000000,0.9,-21,-21,-21,-21,1103.8,2200.55,1802.81,1531.58,
26000000,0.9,-26,-26,-26,-26,1098.21,2190.06,1793.47,1522.59,
31000000,0.9,-31,-31,-31,-31,1094.43,2182.8,1786.72,1516.58,
36000000,0.9,-36,-36,-36,-36,1091.44,2176.68,1781.6,1511.75,
41000000,0.9,-41,-41,-41,-41,1089.18,2172.74,1777.7,1508.34,
46000000,0.9,-46,-46,-46,-46,1087.5,2170.14,1775.17,1505.73,
51000000,0.9,-51,-51,-51,-51,1086.38,2167.42,1772.83,1503.7,
56000000,0.9,-56,-56,-56,-56,1085.1,2165.22,1770.86,1502.16,
61000000,0.9,-61,-61,-61,-61,1084.35,2163.56,1769.3,1500.62,
66000000,0.9,-66,-66,-66,-66,1083.4,2162.05,1767.88,1499.21,
71000000,0.9,-71,-71,-71,-71,1082.78,2160.97,1766.59,1498.28,
76000000,0.9,-76,-76,-76,-76,1082.1,2159.78,1765.76,1497.18,
81000000,0.9,-81,-81,-81,-81,1081.88,2158.56,1764.58,1496.48,
86000000,0.9,-86,-86,-86,-86,1081.32,2157.68,1764.01,1495.74,
91000000,0.9,-91,-91,-91,-91,1080.85,2157.2,1763.23,1495.12,
96000000,0.9,-96,-96,-96,-96,1080.44,2156.61,1762.6,1494.53,
